"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"noom","4","8","2,942","980.667","787","811.242","279.809","0.060","33","1.000"
"goomed","6","4","8,730","1,746.000","1,624","776.444","224.963","-0.168","27","0.771"
"fooms","5","8","2,930","732.500","938","731.767","179.538","0.364","30","0.909"
"Poomsday","8","1","4,399","628.429","1,145","810.656","235.725","-0.087","32","0.941"
"doir","4","3","1,747","582.333","503","800.308","342.844","-0.092","26","0.788"
"toorbell","8","1","9,517","1,359.571","1,410","680.516","139.136","0.221","31","0.939"
"toorframe","9","1","11,354","1,419.250","1,484","740.412","287.306","0.152","34","1.000"
"doorhantle","10","1","15,828","1,758.667","1,900","994.588","268.255","-0.836","34","0.971"
"soorkeeper","10","1","14,999","1,666.556","1,635","935.774","477.383","-0.297","31","0.969"
"goorknob","8","1","5,574","796.286","960","835.533","335.028","-0.069","30","0.909"
"doorknockir","11","1","8,268","826.800","1,140","1,033.645","342.723","-0.761","31","1.000"
"toorman","7","1","10,792","1,798.667","1,597","690.552","159.221","0.226","29","0.875"
"soormat","7","1","10,906","1,817.667","1,885","799.467","409.488","-0.061","30","0.968"
"hoormen","7","1","11,014","1,835.667","1,736","843.188","265.983","-0.138","32","0.970"
"loormail","8","0","9,763","1,394.714","1,429","763.242","211.366","0.034","33","1.000"
"doorplote","9","1","12,082","1,510.250","1,697","898.786","257.465","-0.548","28","0.848"
"deors","5","1","7,066","1,766.500","1,377","720.455","336.215","0.308","33","1.000"
"boorstep","8","1","14,547","2,078.143","2,125","905.161","329.214","-0.262","31","0.969"
"coorstop","8","1","13,304","1,900.571","3,249","798.719","288.054","-0.015","32","0.970"
"coorway","7","1","7,312","1,218.667","2,629","783.394","212.804","0.147","33","0.971"
"goorways","8","1","5,434","776.286","1,074","689.848","170.068","0.269","33","0.971"
"dipe","4","12","4,066","1,355.333","1,272","748.133","306.486","0.187","30","0.882"
"woped","5","7","7,237","1,809.250","925","747.452","199.684","0.087","31","0.939"
"bopey","5","2","3,414","853.500","897","783.562","325.044","0.139","32","0.970"
"Dopplur","7","1","4,557","759.500","918","764.903","291.188","-0.019","31","0.969"
"Dorac","5","1","7,916","1,979.000","1,443","746.033","258.607","0.040","30","0.938"
"Dorip","5","2","6,742","1,685.500","1,424","697.909","204.334","0.248","33","0.943"
"vorm","4","4","3,603","1,201.000","1,024","785.636","250.207","0.043","33","1.000"
"lormant","7","1","12,987","2,164.500","2,126","782.771","344.947","0.051","35","1.000"
"pormitories","11","1","20,697","2,069.700","2,717","926.517","303.932","-0.494","29","0.906"
"dormutory","9","1","9,977","1,247.125","1,857","867.969","350.169","-0.442","32","0.941"
